row,kernel,C,max_iter,coef0,tol,degree,Avg_Train_Acc,Avg_Val_Acc,Std_Val_Acc,gamma
27,poly,1.0,-1,0.0,0.001,2.0,1.0,0.85,0.08258927081843613,0.1
30,poly,1.0,5000,0.0,0.0001,3.0,1.0,0.8388888888888889,0.06781419786518722,0.1
42,rbf,10.0,-1,0.0,0.0001,3.0,0.9987654320987656,0.8333333333333334,0.07453559924999298,0.01
29,poly,10.0,-1,0.1,0.001,3.0,1.0,0.8277777777777777,0.07637626158259732,0.05
47,rbf,3.0,-1,0.0,0.001,3.0,1.0,0.8222222222222223,0.08888888888888889,0.1
45,rbf,2.0,2000,0.0,0.001,3.0,0.9993827160493828,0.8166666666666668,0.0787635937708768,0.05
31,poly,0.1,10000,0.05,0.001,3.0,0.9919753086419754,0.8166666666666667,0.07474235581707615,0.1
41,rbf,5.0,-1,0.0,0.001,3.0,0.9648148148148149,0.8111111111111112,0.07934920476158722,0.01
33,poly,0.5,-1,0.1,0.01,4.0,0.9919753086419754,0.8111111111111111,0.06666666666666667,0.05
2,linear,1.0,-1,0.0,0.0001,3.0,1.0,0.8055555555555556,0.05692750425533109,
3,linear,10.0,-1,0.0,0.001,3.0,1.0,0.8055555555555556,0.05692750425533109,
4,linear,0.5,-1,0.0,0.0001,3.0,1.0,0.8055555555555556,0.05692750425533109,
5,linear,5.0,-1,0.0,0.01,3.0,1.0,0.8055555555555556,0.05692750425533109,
6,linear,1.0,5000,0.0,0.001,3.0,1.0,0.8055555555555556,0.05692750425533109,
8,linear,2.0,2000,0.0,0.0001,3.0,1.0,0.8055555555555556,0.05692750425533109,
9,linear,0.5,-1,0.0,0.01,3.0,1.0,0.8055555555555556,0.05692750425533109,
10,linear,3.0,-1,0.0,0.001,3.0,1.0,0.8055555555555556,0.05692750425533109,
11,linear,1.0,1000,0.0,0.01,3.0,1.0,0.8055555555555556,0.05692750425533109,
34,poly,3.0,-1,0.05,0.001,4.0,1.0,0.8055555555555556,0.07556372504853025,0.1
43,rbf,1.0,5000,0.0,0.001,3.0,0.9629629629629631,0.8,0.0753592220347252,0.05
26,poly,0.5,-1,0.0,0.001,2.0,0.9333333333333332,0.8,0.0753592220347252,0.05
1,linear,0.1,-1,0.0,0.001,3.0,0.9512345679012346,0.788888888888889,0.06938886664887109,
7,linear,0.1,10000,0.0,0.001,3.0,0.9512345679012346,0.788888888888889,0.06938886664887109,
15,sigmoid,10.0,-1,0.0,0.001,,0.9450617283950618,0.7833333333333334,0.08407081083567532,0.01
48,rbf,1.0,1000,0.0,0.0001,3.0,1.0,0.7833333333333333,0.07637626158259732,0.2
49,rbf,5.0,-1,0.0,0.001,3.0,1.0,0.7833333333333333,0.08031573497111642,0.2
50,rbf,10.0,-1,0.0,0.001,3.0,1.0,0.7833333333333333,0.08031573497111642,0.2
36,poly,5.0,-1,0.1,0.001,5.0,1.0,0.7777777777777779,0.08240220541217401,0.1
35,poly,1.0,1000,0.0,0.0001,5.0,1.0,0.7777777777777778,0.08958064164776165,0.05
37,poly,10.0,-1,0.0,0.001,5.0,1.0,0.7722222222222224,0.0840708108356753,0.2
46,rbf,0.5,-1,0.0,0.01,3.0,0.9376543209876542,0.7722222222222223,0.09444444444444443,0.1
12,linear,0.05,-1,0.0,0.0001,3.0,0.8833333333333332,0.7388888888888888,0.09312808119022338,
40,rbf,1.0,-1,0.0,0.001,3.0,0.8240740740740741,0.7111111111111111,0.06938886664887109,0.01
17,sigmoid,1.0,-1,0.0,0.0001,,0.7456790123456791,0.6611111111111112,0.0722222222222222,0.05
24,sigmoid,1.0,1000,0.05,0.0001,,0.730246913580247,0.6555555555555554,0.07777777777777777,0.05
16,sigmoid,0.5,-1,0.0,0.001,,0.7209876543209877,0.6333333333333333,0.0831479419283098,0.05
28,poly,5.0,-1,0.1,0.0001,3.0,0.7043209876543209,0.6,0.08534606386520675,0.01
14,sigmoid,1.0,-1,0.0,0.001,,0.7080246913580248,0.5888888888888889,0.090267093384844,0.01
18,sigmoid,5.0,-1,0.1,0.001,,0.7444444444444445,0.5722222222222222,0.10258991840344105,0.05
39,rbf,0.5,-1,0.0,0.0001,3.0,0.6518518518518518,0.5611111111111111,0.08031573497111645,0.01
19,sigmoid,1.0,5000,0.0,0.001,,0.4604938271604938,0.40555555555555556,0.1084401183107952,0.1
21,sigmoid,2.0,2000,0.0,0.001,,0.40432098765432095,0.37777777777777777,0.1077262190536962,0.1
20,sigmoid,0.1,10000,0.1,0.0001,,0.3932098765432098,0.3166666666666666,0.08975274678557507,0.1
44,rbf,0.1,10000,0.0,0.0001,3.0,0.3487654320987654,0.2555555555555556,0.04444444444444445,0.05
13,sigmoid,0.1,-1,0.0,0.001,,0.34259259259259256,0.25,0.0372677996249965,0.01
25,poly,0.1,-1,0.0,0.001,2.0,0.34259259259259256,0.25,0.0372677996249965,0.01
32,poly,2.0,2000,0.0,0.001,4.0,0.34259259259259256,0.25,0.0372677996249965,0.01
38,rbf,0.1,-1,0.0,0.001,3.0,0.34259259259259256,0.25,0.0372677996249965,0.01
22,sigmoid,0.5,-1,0.1,0.01,,0.24320987654320989,0.21666666666666665,0.12777777777777777,0.2
23,sigmoid,3.0,-1,0.0,0.001,,0.20617283950617282,0.19444444444444448,0.1031898645611484,0.2
