row,kernel,C,max_iter,coef0,tol,degree,Avg_Train_Acc,Avg_Val_Acc,Std_Val_Acc,gamma
27,poly,1.0,-1,0.0,0.001,2.0,1.0,0.8405555555555556,0.1092638103258054,0.1
29,poly,10.0,-1,0.1,0.001,3.0,1.0,0.8355555555555556,0.10841734634113823,0.05
30,poly,1.0,5000,0.0,0.0001,3.0,1.0,0.835,0.1103319905927023,0.1
42,rbf,10.0,-1,0.0,0.0001,3.0,0.998452380952381,0.8194444444444444,0.12072952117833739,0.01
31,poly,0.1,10000,0.05,0.001,3.0,0.9902380952380954,0.8194444444444444,0.11879669322412831,0.1
47,rbf,3.0,-1,0.0,0.001,3.0,1.0,0.818888888888889,0.112524345788197,0.1
45,rbf,2.0,2000,0.0,0.001,3.0,0.9998809523809524,0.8172222222222222,0.11413793907287123,0.05
34,poly,3.0,-1,0.05,0.001,4.0,1.0,0.8094444444444444,0.11111249999131956,0.1
33,poly,0.5,-1,0.1,0.01,4.0,0.9901587301587301,0.806111111111111,0.12076019497896656,0.05
2,linear,1.0,-1,0.0,0.0001,3.0,1.0,0.798888888888889,0.11594485705085504,
3,linear,10.0,-1,0.0,0.001,3.0,1.0,0.798888888888889,0.11594485705085504,
6,linear,1.0,5000,0.0,0.001,3.0,1.0,0.798888888888889,0.11594485705085504,
8,linear,2.0,2000,0.0,0.0001,3.0,1.0,0.798888888888889,0.11594485705085504,
10,linear,3.0,-1,0.0,0.001,3.0,1.0,0.798888888888889,0.11594485705085504,
5,linear,5.0,-1,0.0,0.01,3.0,1.0,0.7983333333333333,0.11557825631723873,
11,linear,1.0,1000,0.0,0.01,3.0,1.0,0.7983333333333333,0.11557825631723873,
4,linear,0.5,-1,0.0,0.0001,3.0,0.9998809523809524,0.7961111111111111,0.11568502362604256,
9,linear,0.5,-1,0.0,0.01,3.0,0.9998809523809524,0.7961111111111111,0.11608452646218882,
41,rbf,5.0,-1,0.0,0.001,3.0,0.9606349206349205,0.7916666666666666,0.1286504019656601,0.01
1,linear,0.1,-1,0.0,0.001,3.0,0.950515873015873,0.79,0.1293573860795484,
7,linear,0.1,10000,0.0,0.001,3.0,0.950515873015873,0.79,0.1293573860795484,
43,rbf,1.0,5000,0.0,0.001,3.0,0.9616666666666667,0.7888888888888889,0.12533904636309418,0.05
49,rbf,5.0,-1,0.0,0.001,3.0,1.0,0.7872222222222223,0.11488185020347139,0.2
50,rbf,10.0,-1,0.0,0.001,3.0,1.0,0.7872222222222223,0.11488185020347139,0.2
15,sigmoid,10.0,-1,0.0,0.001,,0.9471428571428571,0.7872222222222223,0.13036155799340976,0.01
26,poly,0.5,-1,0.0,0.001,2.0,0.9358333333333333,0.7872222222222222,0.12380415637531103,0.05
36,poly,5.0,-1,0.1,0.001,5.0,1.0,0.7855555555555555,0.11069923661730607,0.1
48,rbf,1.0,1000,0.0,0.0001,3.0,1.0,0.773888888888889,0.1203146594723628,0.2
37,poly,10.0,-1,0.0,0.001,5.0,1.0,0.7722222222222221,0.11041448285750995,0.2
46,rbf,0.5,-1,0.0,0.01,3.0,0.9357936507936508,0.7661111111111112,0.12121937057446362,0.1
35,poly,1.0,1000,0.0,0.0001,5.0,1.0,0.7583333333333333,0.1200887017845405,0.05
12,linear,0.05,-1,0.0,0.0001,3.0,0.8837301587301586,0.7438888888888889,0.13405936588037,
40,rbf,1.0,-1,0.0,0.001,3.0,0.8213492063492064,0.7144444444444443,0.13586031315788294,0.01
17,sigmoid,1.0,-1,0.0,0.0001,,0.7396031746031745,0.6566666666666666,0.13707256796634726,0.05
24,sigmoid,1.0,1000,0.05,0.0001,,0.726388888888889,0.6488888888888888,0.1396379799055356,0.05
16,sigmoid,0.5,-1,0.0,0.001,,0.7219047619047618,0.635,0.1416405204630265,0.05
18,sigmoid,5.0,-1,0.1,0.001,,0.7326587301587302,0.601111111111111,0.1379702956042923,0.05
14,sigmoid,1.0,-1,0.0,0.001,,0.7167460317460317,0.5555555555555555,0.15082079956109143,0.01
28,poly,5.0,-1,0.1,0.0001,3.0,0.7130158730158731,0.553888888888889,0.14470169400153401,0.01
39,rbf,0.5,-1,0.0,0.0001,3.0,0.6768253968253968,0.5172222222222221,0.14443269182957091,0.01
19,sigmoid,1.0,5000,0.0,0.001,,0.45496031746031745,0.3983333333333333,0.11091788754649892,0.1
21,sigmoid,2.0,2000,0.0,0.001,,0.4009920634920635,0.36277777777777775,0.1316338449480318,0.1
20,sigmoid,0.1,10000,0.1,0.0001,,0.39535714285714285,0.25722222222222224,0.10968670311166333,0.1
44,rbf,0.1,10000,0.0,0.0001,3.0,0.41686507936507944,0.2566666666666667,0.16058919293927876,0.05
25,poly,0.1,-1,0.0,0.001,2.0,0.4073809523809524,0.25388888888888894,0.15879659324019313,0.01
38,rbf,0.1,-1,0.0,0.001,3.0,0.4025,0.24833333333333332,0.14952703211571255,0.01
13,sigmoid,0.1,-1,0.0,0.001,,0.39757936507936514,0.245,0.14279939308927986,0.01
32,poly,2.0,2000,0.0,0.001,4.0,0.3915079365079365,0.2338888888888889,0.11654623413632045,0.01
22,sigmoid,0.5,-1,0.1,0.01,,0.24285714285714277,0.21555555555555553,0.11063230167017003,0.2
23,sigmoid,3.0,-1,0.0,0.001,,0.2038095238095238,0.19499999999999998,0.11540187430277116,0.2
