row,kernel,C,gamma,degree,coef0,epsilon,tol,max_iter,Avg_Train_RMSE,Avg_Val_RMSE,Std_Val_RMSE
2,rbf,1.0,0.05,,,0.1,0.0001,-1,86110.8541,88527.0038,8893.4953
3,poly,1.0,0.05,3.0,0.0,0.1,0.0001,5000,91710.4435,95041.8099,8258.1067
1,linear,0.1,,,,0.05,0.001,-1,120187.4168,120840.8983,6156.724
4,sigmoid,1.0,0.05,,0.1,0.05,0.0001,1000,1540110.9486,1507395.2101,208131.9294
