row,kernel,C,gamma,degree,coef0,epsilon,tol,max_iter,Avg_Train_RMSE,Avg_Val_RMSE,Std_Val_RMSE
2,rbf,1.0,0.05,,,0.1,0.0001,-1,86069.6538,87892.9111,13721.7425
3,poly,1.0,0.05,3.0,0.0,0.1,0.0001,5000,91482.7934,94348.4121,12383.8825
1,linear,0.1,,,,0.05,0.001,-1,120193.3353,120440.7299,10685.2853
4,sigmoid,1.0,0.05,,0.1,0.05,0.0001,1000,1594863.4312,1561443.4211,247558.5538
