row,kernel,C,gamma,degree,coef0,epsilon,tol,max_iter,Avg_Train_RMSE,Avg_Val_RMSE,Std_Val_RMSE
2,rbf,1.0,0.05,,,0.1,0.0001,-1,86100.2282,88366.1639,9905.186
3,poly,1.0,0.05,3.0,0.0,0.1,0.0001,5000,91697.4561,94816.2193,11292.3154
1,linear,0.1,,,,0.05,0.001,-1,120212.2578,120502.295,10525.2302
4,sigmoid,1.0,0.05,,0.1,0.05,0.0001,1000,1541302.6205,1522943.988,138921.6507
