row,kernel,C,gamma,degree,coef0,epsilon,tol,max_iter,Avg_Train_RMSE,Avg_Val_RMSE,Std_Val_RMSE
2,rbf,1.0,0.05,,,0.1,0.0001,-1,86095.9625,88274.1721,10977.1768
3,poly,1.0,0.05,3.0,0.0,0.1,0.0001,5000,91693.0262,94649.9835,12800.486
1,linear,0.1,,,,0.05,0.001,-1,120204.0242,120346.8121,11700.8713
4,sigmoid,1.0,0.05,,0.1,0.05,0.0001,1000,1541353.741,1519776.0583,149905.34
