row,kernel,C,max_iter,coef0,tol,degree,Avg_Train_Acc,Avg_Val_Acc,Std_Val_Acc,gamma
27,poly,1.0,-1,0.0,0.001,2.0,1.0,0.8344444444444445,0.05745637099487952,0.1
29,poly,10.0,-1,0.1,0.001,3.0,1.0,0.8222222222222222,0.05499719409228702,0.05
30,poly,1.0,5000,0.0,0.0001,3.0,1.0,0.8211111111111111,0.054478447431694485,0.1
31,poly,0.1,10000,0.05,0.001,3.0,0.9911111111111112,0.8044444444444445,0.0518068587861101,0.1
45,rbf,2.0,2000,0.0,0.001,3.0,0.9997222222222223,0.8044444444444444,0.05799105933644396,0.05
42,rbf,10.0,-1,0.0,0.0001,3.0,0.9980555555555555,0.8,0.05931710140017397,0.01
47,rbf,3.0,-1,0.0,0.001,3.0,1.0,0.7955555555555556,0.05492980930803679,0.1
2,linear,1.0,-1,0.0,0.0001,3.0,1.0,0.7877777777777779,0.04835567810441989,
3,linear,10.0,-1,0.0,0.001,3.0,1.0,0.7877777777777779,0.04835567810441989,
5,linear,5.0,-1,0.0,0.01,3.0,1.0,0.7877777777777779,0.047061819076771955,
6,linear,1.0,5000,0.0,0.001,3.0,1.0,0.7877777777777779,0.04835567810441989,
8,linear,2.0,2000,0.0,0.0001,3.0,1.0,0.7877777777777779,0.04835567810441989,
10,linear,3.0,-1,0.0,0.001,3.0,1.0,0.7877777777777779,0.04835567810441989,
11,linear,1.0,1000,0.0,0.01,3.0,1.0,0.7877777777777779,0.047061819076771955,
34,poly,3.0,-1,0.05,0.001,4.0,1.0,0.7877777777777777,0.06661108794365272,0.1
41,rbf,5.0,-1,0.0,0.001,3.0,0.9633333333333333,0.7877777777777777,0.07489910909490098,0.01
43,rbf,1.0,5000,0.0,0.001,3.0,0.963888888888889,0.7866666666666666,0.06745826327404686,0.05
33,poly,0.5,-1,0.1,0.01,4.0,0.9911111111111112,0.7855555555555556,0.06407942602353875,0.05
4,linear,0.5,-1,0.0,0.0001,3.0,1.0,0.7844444444444444,0.04924115512480077,
9,linear,0.5,-1,0.0,0.01,3.0,1.0,0.7833333333333333,0.04969039949999535,
49,rbf,5.0,-1,0.0,0.001,3.0,1.0,0.7722222222222223,0.07071067811865477,0.2
50,rbf,10.0,-1,0.0,0.001,3.0,1.0,0.7722222222222223,0.07071067811865477,0.2
1,linear,0.1,-1,0.0,0.001,3.0,0.9524999999999999,0.7722222222222221,0.07243558228002944,
7,linear,0.1,10000,0.0,0.001,3.0,0.9524999999999999,0.7722222222222221,0.07243558228002944,
26,poly,0.5,-1,0.0,0.001,2.0,0.938611111111111,0.7711111111111112,0.06771399548974487,0.05
48,rbf,1.0,1000,0.0,0.0001,3.0,1.0,0.7644444444444445,0.0724866952457782,0.2
15,sigmoid,10.0,-1,0.0,0.001,,0.9461111111111111,0.7611111111111112,0.07657804862272348,0.01
36,poly,5.0,-1,0.1,0.001,5.0,1.0,0.7522222222222222,0.07408703590297624,0.1
12,linear,0.05,-1,0.0,0.0001,3.0,0.8813888888888889,0.7411111111111112,0.07316478948068592,
46,rbf,0.5,-1,0.0,0.01,3.0,0.9386111111111112,0.7377777777777779,0.07456871882472231,0.1
37,poly,10.0,-1,0.0,0.001,5.0,1.0,0.7322222222222221,0.07531005867924688,0.2
35,poly,1.0,1000,0.0,0.0001,5.0,1.0,0.7266666666666666,0.06605272865645269,0.05
40,rbf,1.0,-1,0.0,0.001,3.0,0.8177777777777778,0.6733333333333333,0.062499382713001025,0.01
17,sigmoid,1.0,-1,0.0,0.0001,,0.7491666666666668,0.6588888888888889,0.0751623756679456,0.05
24,sigmoid,1.0,1000,0.05,0.0001,,0.7383333333333333,0.6411111111111112,0.07734801903980938,0.05
16,sigmoid,0.5,-1,0.0,0.001,,0.715,0.6111111111111112,0.06431020501550123,0.05
18,sigmoid,5.0,-1,0.1,0.001,,0.7469444444444443,0.6,0.07777777777777777,0.05
28,poly,5.0,-1,0.1,0.0001,3.0,0.6866666666666668,0.5455555555555556,0.08988332629402969,0.01
14,sigmoid,1.0,-1,0.0,0.001,,0.6772222222222223,0.5377777777777778,0.09325393448158793,0.01
39,rbf,0.5,-1,0.0,0.0001,3.0,0.6447222222222223,0.5055555555555555,0.11520245196293177,0.01
19,sigmoid,1.0,5000,0.0,0.001,,0.46527777777777785,0.4033333333333334,0.058857433947329015,0.1
21,sigmoid,2.0,2000,0.0,0.001,,0.4158333333333333,0.3766666666666667,0.07539197979416612,0.1
44,rbf,0.1,10000,0.0,0.0001,3.0,0.4086111111111111,0.30444444444444446,0.11901862080685287,0.05
25,poly,0.1,-1,0.0,0.001,2.0,0.40416666666666656,0.3044444444444444,0.12005142930849405,0.01
38,rbf,0.1,-1,0.0,0.001,3.0,0.39583333333333326,0.29444444444444445,0.097182531580755,0.01
32,poly,2.0,2000,0.0,0.001,4.0,0.39138888888888884,0.29,0.08537498983243798,0.01
13,sigmoid,0.1,-1,0.0,0.001,,0.3925,0.2877777777777778,0.08638129655811916,0.01
20,sigmoid,0.1,10000,0.1,0.0001,,0.38638888888888884,0.28555555555555556,0.06261779023824608,0.1
22,sigmoid,0.5,-1,0.1,0.01,,0.2336111111111111,0.22333333333333336,0.06734836649196328,0.2
23,sigmoid,3.0,-1,0.0,0.001,,0.21083333333333332,0.20555555555555557,0.05499719409228703,0.2
