row,kernel,C,gamma,degree,coef0,epsilon,tol,max_iter,Avg_Train_RMSE,Avg_Val_RMSE,Std_Val_RMSE
2,rbf,1.0,0.05,,,0.1,0.0001,-1,86206.9666,89199.1846,4446.3412
3,poly,1.0,0.05,3.0,0.0,0.1,0.0001,5000,92460.1559,96917.8152,4374.1511
1,linear,0.1,,,,0.05,0.001,-1,120200.416,121266.5069,2791.5756
4,sigmoid,1.0,0.05,,0.1,0.05,0.0001,1000,1382517.519,1351961.8068,118819.5793
