row,kernel,C,gamma,degree,coef0,epsilon,tol,max_iter,Avg_Train_RMSE,Avg_Val_RMSE,Std_Val_RMSE
2,rbf,1.0,0.05,,,0.1,0.0001,-1,86166.8419,88977.3328,7937.0314
3,poly,1.0,0.05,3.0,0.0,0.1,0.0001,5000,92427.9325,96639.2039,9546.0291
1,linear,0.1,,,,0.05,0.001,-1,120245.3297,120790.8196,8876.5536
4,sigmoid,1.0,0.05,,0.1,0.05,0.0001,1000,1380282.0829,1363883.0406,66137.2076
