row,kernel,C,max_iter,coef0,tol,degree,Avg_Train_Acc,Avg_Val_Acc,Std_Val_Acc,gamma
27,poly,1.0,-1,0.0,0.001,2.0,1.0,0.8388888888888889,0.07114582486036497,0.1
29,poly,10.0,-1,0.1,0.001,3.0,1.0,0.8333333333333333,0.05270462766947297,0.05
30,poly,1.0,5000,0.0,0.0001,3.0,1.0,0.8277777777777778,0.04779069592801459,0.1
42,rbf,10.0,-1,0.0,0.0001,3.0,0.9986111111111111,0.8166666666666667,0.06712803318663652,0.01
45,rbf,2.0,2000,0.0,0.001,3.0,1.0,0.8111111111111111,0.05386310952684813,0.05
31,poly,0.1,10000,0.05,0.001,3.0,0.9902777777777778,0.8055555555555557,0.039283710065919325,0.1
41,rbf,5.0,-1,0.0,0.001,3.0,0.9597222222222221,0.8055555555555556,0.07856742013183862,0.01
2,linear,1.0,-1,0.0,0.0001,3.0,1.0,0.8,0.05091750772173158,
3,linear,10.0,-1,0.0,0.001,3.0,1.0,0.8,0.05091750772173158,
5,linear,5.0,-1,0.0,0.01,3.0,1.0,0.8,0.05091750772173158,
6,linear,1.0,5000,0.0,0.001,3.0,1.0,0.8,0.05091750772173158,
8,linear,2.0,2000,0.0,0.0001,3.0,1.0,0.8,0.05091750772173158,
10,linear,3.0,-1,0.0,0.001,3.0,1.0,0.8,0.05091750772173158,
11,linear,1.0,1000,0.0,0.01,3.0,1.0,0.8,0.05091750772173158,
47,rbf,3.0,-1,0.0,0.001,3.0,1.0,0.7944444444444445,0.057197945227705584,0.1
43,rbf,1.0,5000,0.0,0.001,3.0,0.9638888888888889,0.7944444444444445,0.048432210483785286,0.05
4,linear,0.5,-1,0.0,0.0001,3.0,1.0,0.788888888888889,0.05983516452371673,
9,linear,0.5,-1,0.0,0.01,3.0,1.0,0.788888888888889,0.05983516452371673,
33,poly,0.5,-1,0.1,0.01,4.0,0.9916666666666668,0.7833333333333334,0.06894263136661591,0.05
1,linear,0.1,-1,0.0,0.001,3.0,0.9430555555555555,0.7833333333333334,0.05386310952684813,
7,linear,0.1,10000,0.0,0.001,3.0,0.9430555555555555,0.7833333333333334,0.05386310952684813,
34,poly,3.0,-1,0.05,0.001,4.0,1.0,0.7833333333333332,0.06431020501550125,0.1
48,rbf,1.0,1000,0.0,0.0001,3.0,1.0,0.7777777777777778,0.060858061945018485,0.2
49,rbf,5.0,-1,0.0,0.001,3.0,1.0,0.7777777777777778,0.058267158231675116,0.2
50,rbf,10.0,-1,0.0,0.001,3.0,1.0,0.7777777777777778,0.058267158231675116,0.2
26,poly,0.5,-1,0.0,0.001,2.0,0.9375,0.7666666666666666,0.03333333333333335,0.05
15,sigmoid,10.0,-1,0.0,0.001,,0.9347222222222221,0.7666666666666666,0.057197945227705584,0.01
46,rbf,0.5,-1,0.0,0.01,3.0,0.9416666666666668,0.7611111111111111,0.06478835438717004,0.1
36,poly,5.0,-1,0.1,0.001,5.0,1.0,0.75,0.09128709291752769,0.1
12,linear,0.05,-1,0.0,0.0001,3.0,0.8791666666666667,0.7333333333333333,0.048432210483785286,
37,poly,10.0,-1,0.0,0.001,5.0,1.0,0.7277777777777779,0.08854098583616238,0.2
35,poly,1.0,1000,0.0,0.0001,5.0,1.0,0.7277777777777777,0.07737993487324514,0.05
40,rbf,1.0,-1,0.0,0.001,3.0,0.825,0.6833333333333333,0.07370277311900887,0.01
17,sigmoid,1.0,-1,0.0,0.0001,,0.7597222222222222,0.65,0.05152010275275389,0.05
24,sigmoid,1.0,1000,0.05,0.0001,,0.7430555555555556,0.65,0.05152010275275389,0.05
16,sigmoid,0.5,-1,0.0,0.001,,0.726388888888889,0.6277777777777778,0.037679611017362565,0.05
28,poly,5.0,-1,0.1,0.0001,3.0,0.7097222222222223,0.6277777777777778,0.028327886186626548,0.01
14,sigmoid,1.0,-1,0.0,0.001,,0.7111111111111111,0.6000000000000001,0.022222222222222192,0.01
18,sigmoid,5.0,-1,0.1,0.001,,0.7472222222222221,0.5944444444444444,0.041573970964154876,0.05
39,rbf,0.5,-1,0.0,0.0001,3.0,0.6833333333333333,0.5722222222222222,0.06712803318663649,0.01
19,sigmoid,1.0,5000,0.0,0.001,,0.4625,0.38888888888888884,0.07243558228002943,0.1
44,rbf,0.1,10000,0.0,0.0001,3.0,0.43888888888888883,0.37777777777777777,0.14444444444444443,0.05
25,poly,0.1,-1,0.0,0.001,2.0,0.4305555555555555,0.3666666666666667,0.12222222222222223,0.01
21,sigmoid,2.0,2000,0.0,0.001,,0.42638888888888893,0.3611111111111111,0.05826715823167509,0.1
38,rbf,0.1,-1,0.0,0.001,3.0,0.41388888888888886,0.3388888888888889,0.06666666666666667,0.01
32,poly,2.0,2000,0.0,0.001,4.0,0.4083333333333333,0.3388888888888889,0.06666666666666667,0.01
13,sigmoid,0.1,-1,0.0,0.001,,0.40694444444444444,0.33333333333333337,0.05555555555555553,0.01
20,sigmoid,0.1,10000,0.1,0.0001,,0.3902777777777778,0.3333333333333333,0.03042903097250922,0.1
22,sigmoid,0.5,-1,0.1,0.01,,0.24583333333333335,0.22777777777777777,0.06894263136661587,0.2
23,sigmoid,3.0,-1,0.0,0.001,,0.2125,0.2111111111111111,0.05983516452371671,0.2
