row,kernel,C,gamma,degree,coef0,epsilon,tol,max_iter,Avg_Train_RMSE,Avg_Val_RMSE,Std_Val_RMSE
2,rbf,1.0,0.05,,,0.1,0.0001,-1,86189.9857,89033.9177,6837.624
3,poly,1.0,0.05,3.0,0.0,0.1,0.0001,5000,92438.3819,96658.0843,8442.0543
1,linear,0.1,,,,0.05,0.001,-1,120254.1687,120825.6051,7374.3577
4,sigmoid,1.0,0.05,,0.1,0.05,0.0001,1000,1378772.6699,1364490.4155,65140.8287
