,kernel,C,gamma,epsilon,tol,max_iter,cache_size,Avg_Train_RMSE,Avg_Val_RMSE,Std_Val_RMSE
K=5,rbf,10.0,0.1,0.1,0.0001,-1,2000,72187.9845,83319.1859,3051.4129
K=10,rbf,10.0,0.1,0.1,0.0001,-1,2000,72127.462,82684.4927,8295.8589
K=15,rbf,10.0,0.1,0.1,0.0001,-1,2000,72131.7869,81602.958,11770.282
