row,kernel,C,gamma,degree,coef0,epsilon,tol,max_iter,Avg_Train_RMSE,Avg_Val_RMSE,Std_Val_RMSE
2,rbf,1.0,0.05,,,0.1,0.0001,-1,86063.4819,87986.7239,13227.6088
3,poly,1.0,0.05,3.0,0.0,0.1,0.0001,5000,91474.2795,94082.7239,14369.2189
1,linear,0.1,,,,0.05,0.001,-1,120202.5199,119989.2858,14841.3521
4,sigmoid,1.0,0.05,,0.1,0.05,0.0001,1000,1595308.7312,1570316.6803,201459.5503
