row,kernel,C,max_iter,coef0,tol,degree,Avg_Train_Acc,Avg_Val_Acc,Std_Val_Acc,gamma
27,poly,1.0,-1,0.0,0.001,2.0,1.0,0.8444444444444443,0.10743933114340953,0.1
30,poly,1.0,5000,0.0,0.0001,3.0,1.0,0.84,0.10866189491909023,0.1
29,poly,10.0,-1,0.1,0.001,3.0,1.0,0.8388888888888889,0.10999438818457405,0.05
42,rbf,10.0,-1,0.0,0.0001,3.0,0.9984126984126984,0.8255555555555554,0.11719983988528228,0.01
31,poly,0.1,10000,0.05,0.001,3.0,0.9902380952380954,0.82,0.11469767022723501,0.1
47,rbf,3.0,-1,0.0,0.001,3.0,1.0,0.818888888888889,0.11814408445350967,0.1
45,rbf,2.0,2000,0.0,0.001,3.0,0.9998412698412699,0.818888888888889,0.1189252280911969,0.05
34,poly,3.0,-1,0.05,0.001,4.0,1.0,0.8155555555555555,0.10826351026232703,0.1
2,linear,1.0,-1,0.0,0.0001,3.0,1.0,0.8044444444444444,0.10407736913196883,
3,linear,10.0,-1,0.0,0.001,3.0,1.0,0.8044444444444444,0.10407736913196883,
6,linear,1.0,5000,0.0,0.001,3.0,1.0,0.8044444444444444,0.10407736913196883,
8,linear,2.0,2000,0.0,0.0001,3.0,1.0,0.8044444444444444,0.10407736913196883,
10,linear,3.0,-1,0.0,0.001,3.0,1.0,0.8044444444444444,0.10407736913196883,
33,poly,0.5,-1,0.1,0.01,4.0,0.9900793650793652,0.8033333333333335,0.11913266803271295,0.05
5,linear,5.0,-1,0.0,0.01,3.0,1.0,0.8033333333333332,0.10331541063207401,
11,linear,1.0,1000,0.0,0.01,3.0,1.0,0.8033333333333332,0.10331541063207401,
4,linear,0.5,-1,0.0,0.0001,3.0,0.9997619047619049,0.801111111111111,0.10354220228641549,
9,linear,0.5,-1,0.0,0.01,3.0,0.9997619047619049,0.8,0.10363754503432017,
41,rbf,5.0,-1,0.0,0.001,3.0,0.9604761904761904,0.7933333333333334,0.1286396056747227,0.01
49,rbf,5.0,-1,0.0,0.001,3.0,1.0,0.7877777777777777,0.1180813697267406,0.2
50,rbf,10.0,-1,0.0,0.001,3.0,1.0,0.7877777777777777,0.1180813697267406,0.2
1,linear,0.1,-1,0.0,0.001,3.0,0.9503968253968254,0.7866666666666667,0.1263739307387816,
7,linear,0.1,10000,0.0,0.001,3.0,0.9503968253968254,0.7866666666666667,0.1263739307387816,
36,poly,5.0,-1,0.1,0.001,5.0,1.0,0.7844444444444443,0.10549120845704818,0.1
15,sigmoid,10.0,-1,0.0,0.001,,0.9469047619047617,0.7833333333333334,0.13052600138300813,0.01
26,poly,0.5,-1,0.0,0.001,2.0,0.9365873015873016,0.7833333333333333,0.11706281947614153,0.05
43,rbf,1.0,5000,0.0,0.001,3.0,0.9619047619047618,0.7833333333333332,0.12018504251546629,0.05
48,rbf,1.0,1000,0.0,0.0001,3.0,1.0,0.7777777777777778,0.11889408088351497,0.2
37,poly,10.0,-1,0.0,0.001,5.0,1.0,0.7699999999999999,0.10349449797506682,0.2
46,rbf,0.5,-1,0.0,0.01,3.0,0.9353968253968253,0.7644444444444445,0.12350838428080224,0.1
35,poly,1.0,1000,0.0,0.0001,5.0,1.0,0.7588888888888888,0.11186411509913972,0.05
12,linear,0.05,-1,0.0,0.0001,3.0,0.8848412698412697,0.7466666666666667,0.1377329676234792,
40,rbf,1.0,-1,0.0,0.001,3.0,0.8211904761904762,0.7155555555555555,0.13339813240220066,0.01
17,sigmoid,1.0,-1,0.0,0.0001,,0.7398412698412699,0.6566666666666666,0.13330555266143404,0.05
24,sigmoid,1.0,1000,0.05,0.0001,,0.7257142857142856,0.6466666666666666,0.13933705470841135,0.05
16,sigmoid,0.5,-1,0.0,0.001,,0.7215079365079364,0.6377777777777778,0.13298101600335271,0.05
18,sigmoid,5.0,-1,0.1,0.001,,0.7311904761904761,0.6077777777777778,0.14322562706064015,0.05
28,poly,5.0,-1,0.1,0.0001,3.0,0.711984126984127,0.5533333333333335,0.13583759366188675,0.01
14,sigmoid,1.0,-1,0.0,0.001,,0.7175396825396826,0.5522222222222222,0.14061592906272333,0.01
39,rbf,0.5,-1,0.0,0.0001,3.0,0.6725396825396827,0.5155555555555555,0.12959576277176296,0.01
19,sigmoid,1.0,5000,0.0,0.001,,0.4569047619047619,0.39555555555555555,0.11948448941128946,0.1
21,sigmoid,2.0,2000,0.0,0.001,,0.4014285714285714,0.3611111111111111,0.1461438493107323,0.1
20,sigmoid,0.1,10000,0.1,0.0001,,0.39436507936507936,0.2611111111111111,0.11249142628509216,0.1
44,rbf,0.1,10000,0.0,0.0001,3.0,0.4026984126984127,0.24555555555555558,0.13937249139634655,0.05
25,poly,0.1,-1,0.0,0.001,2.0,0.3911111111111112,0.24555555555555558,0.14069492431639125,0.01
38,rbf,0.1,-1,0.0,0.001,3.0,0.3888095238095239,0.24,0.1269003692023932,0.01
13,sigmoid,0.1,-1,0.0,0.001,,0.3853174603174604,0.23777777777777775,0.12449403773714937,0.01
32,poly,2.0,2000,0.0,0.001,4.0,0.3790476190476192,0.23,0.11125546178852423,0.01
22,sigmoid,0.5,-1,0.1,0.01,,0.24373015873015869,0.22222222222222224,0.11249142628509215,0.2
23,sigmoid,3.0,-1,0.0,0.001,,0.20404761904761906,0.2022222222222222,0.11480525647190658,0.2
